Device,IPv4,IPv6,SysUpTime,Added,Location,Identifier,Description
EISW102,10.1.205.225,,,2021-05-27 10:19,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW103,10.1.205.209,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW104,10.201.38.104,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW105,10.201.38.105,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW106,10.201.38.106,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW107,10.1.205.215,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW115,10.1.205.201,,,2020-09-03 11:31,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E3 RELEASE (fc3)
EISW116,10.1.205.224,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW117,10.1.205.210,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW118,10.1.205.211,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW119,10.1.205.228,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW121,10.1.205.229,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cat35xxStack,Cisco IOS C3560CX (C3560CX-UNIVERSALK9-M) Version 15.2(7)E2 RELEASE (fc3)
EISW188,10.1.205.247,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW189,10.1.205.248,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW190,10.1.205.249,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW191,10.1.205.250,,,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW211,10.201.38.211,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW212,10.201.38.212,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW214,10.201.38.214,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW216,10.201.38.216,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.2(6)E2 RELEASE (fc4)
EISW217,10.201.38.217,,175 days 16 hours,2021-03-09 17:09,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW219,10.201.38.219,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW221,10.201.38.221,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW222,10.201.38.222,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2)EX4 RELEASE (fc1)
EISW225,10.201.38.225,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.2(2)E9 RELEASE (fc4)
EISW227,10.201.38.227,,,2020-09-03 11:31,CT BKAG Eislingen,CISCO-PRODUCTS-MIB.cat29xxStack,Cisco IOS C2960X (C2960X-UNIVERSALK9-M) Version 15.0(2a)EX5 RELEASE (fc3)
EISW230,10.201.38.230,,,2021-03-09 17:09,,CISCO-PRODUCTS-MIB.cat38xxstack,Cisco IOS Gibraltar Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.12.8 RELEASE (fc1)
EISW231,10.201.38.231,,35 days 17 hours,2021-03-09 17:09,,CISCO-PRODUCTS-MIB.cat38xxstack,Cisco IOS Gibraltar Catalyst L3 Switch (CAT3K_CAA-UNIVERSALK9-M) Version 16.12.8 RELEASE (fc1)
EISW251-PLC,10.1.205.251,,,2021-12-14 10:38,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW252-PLC,10.1.205.252,,,2021-12-14 10:38,CT Eislingen,CISCO-PRODUCTS-MIB.ciscoCat9300FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.6 RELEASE (fc2)
EISW254,10.201.38.254,,,2020-09-11 06:52,,CISCO-PRODUCTS-MIB.ciscoCat9500FixedSwitchStack,Cisco IOS Amsterdam Catalyst L3 Switch (CAT9K_IOSXE) Version 17.3.5 RELEASE (fc2)
EIWLC001,10.201.38.110,,35 days 15 hours,2021-06-21 08:26,CT Eislingen,CISCO-PRODUCTS-MIB.cisco3504WLC,Cisco Controller
es-bc-br-r01,10.205.66.210,,138 days 10 hours,2020-10-19 09:29,,CISCO-PRODUCTS-MIB.ciscoISR4431,Cisco IOS Cupertino ISR (X86_64_LINUX_IOSD-UNIVERSALK9-M) Version 17.9.4a RELEASE (fc3)
